"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",1961,3172.897818,3172.897818,3172.897818,3172.897818,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1962,5430.506455,5430.506455,5430.506455,5430.506455,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1963,26237.73109,26237.73109,26237.73109,26237.73109,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1964,23251.55603,23251.55603,23251.55603,23251.55603,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1965,17879.29135,17879.29135,17879.29135,17879.29135,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1966,73659.0366,73659.0366,73659.0366,73659.0366,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1967,26964.0961,26964.0961,26964.0961,26964.0961,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1968,45522.88,45522.88,45522.88,45522.88,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1969,10710.592,10710.592,10710.592,10710.592,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1970,29341.888,29341.888,29341.888,29341.888,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1971,36090.9141,36090.9141,36090.9141,36090.9141,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1972,21564,21564,21564,21564,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1973,12133,12133,12133,12133,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1974,7110.434712,7110.434712,7110.434712,7110.434712,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1975,12739.23404,12739.23404,12739.23404,12739.23404,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1976,16428.544,16428.544,16428.544,16428.544,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1977,13176.448,13176.448,13176.448,13176.448,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1978,4750.144,4750.144,4750.144,4750.144,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1979,15009.28,15009.28,15009.28,15009.28,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1980,15807.04,15807.04,15807.04,15807.04,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1981,16938.304,16938.304,16938.304,16938.304,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1982,11703.04,11703.04,11703.04,11703.04,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1983,16761.472,16761.472,16761.472,16761.472,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1984,53720.67986,53720.67986,53720.67986,53720.67986,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1985,31945.74646,31945.74646,31945.74646,31945.74646,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1986,15472.15812,15472.15812,15472.15812,15472.15812,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1987,21090.09404,21090.09404,21090.09404,21090.09404,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1988,20652.928,20652.928,20652.928,20652.928,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1989,17947.46414,17947.46414,17947.46414,17947.46414,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1990,6261.494874,6261.494874,6261.494874,6261.494874,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1991,19737.56439,19737.56439,19737.56439,19737.56439,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1992,33184.31818,33184.31818,33184.31818,33184.31818,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1993,17151.424,17151.424,17151.424,17151.424,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1994,1976.704,1976.704,1976.704,1976.704,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1995,4581.290136,4581.290136,4581.290136,4581.290136,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1996,17034.93753,17034.93753,17034.93753,17034.93753,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1997,11995.86628,11995.86628,11995.86628,11995.86628,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1998,3708.12834,3708.12834,3708.12834,3708.12834,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1999,5648,5648,5648,5648,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2000,21838,21838,21838,21838,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2001,39024,39024,39024,39024,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2002,3560,3560,3560,3560,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2003,17753,17753,17753,17753,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2004,41791,41791,41791,41791,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2005,31260,31260,31260,31260,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2006,20819,20819,20819,20819,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2007,13490,13490,13490,13490,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2008,126972,126972,126972,126972,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2009,64024,64024,64024,64024,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2010,182122,182122,182122,182122,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2011,33692,33692,33692,33692,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2012,101856,101856,101856,101856,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2013,42724,42724,42724,42724,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2014,194755,194755,194755,194755,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2015,24662,24662,24662,24662,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2016,91134,91134,91134,91134,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2017,37029,37029,37029,37029,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2018,72501,72501,72501,72501,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2019,23088,23088,23088,23088,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2020,86374,86374,86374,86374,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2021,19144,19144,19144,19144,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2022,109007,109007,109007,109007,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1961,3172.897818,3172.897818,3172.897818,3172.897818,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1962,5430.506455,5430.506455,5430.506455,5430.506455,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1963,26237.73109,26237.73109,26237.73109,26237.73109,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1964,23251.55603,23251.55603,23251.55603,23251.55603,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1965,17879.29135,17879.29135,17879.29135,17879.29135,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1966,73659.0366,73659.0366,73659.0366,73659.0366,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1967,26964.0961,26964.0961,26964.0961,26964.0961,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1968,45522.88,45522.88,45522.88,45522.88,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1969,10710.592,10710.592,10710.592,10710.592,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1970,29341.888,29341.888,29341.888,29341.888,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1971,36090.9141,36090.9141,36090.9141,36090.9141,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1972,21564,21564,21564,21564,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1973,12133,12133,12133,12133,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1974,7110.434712,7110.434712,7110.434712,7110.434712,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1975,12739.23404,12739.23404,12739.23404,12739.23404,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1976,16428.544,16428.544,16428.544,16428.544,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1977,13176.448,13176.448,13176.448,13176.448,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1978,4750.144,4750.144,4750.144,4750.144,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1979,15009.28,15009.28,15009.28,15009.28,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1980,15807.04,15807.04,15807.04,15807.04,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1981,16938.304,16938.304,16938.304,16938.304,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1982,11703.04,11703.04,11703.04,11703.04,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1983,16761.472,16761.472,16761.472,16761.472,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1984,53720.67986,53720.67986,53720.67986,53720.67986,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1985,31945.74646,31945.74646,31945.74646,31945.74646,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1986,15472.15812,15472.15812,15472.15812,15472.15812,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1987,21090.09404,21090.09404,21090.09404,21090.09404,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1988,20652.928,20652.928,20652.928,20652.928,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1989,17947.46414,17947.46414,17947.46414,17947.46414,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1990,6261.494874,6261.494874,6261.494874,6261.494874,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1991,19737.56439,19737.56439,19737.56439,19737.56439,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1992,33184.31818,33184.31818,33184.31818,33184.31818,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1993,17151.424,17151.424,17151.424,17151.424,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1994,1976.704,1976.704,1976.704,1976.704,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1995,4581.290136,4581.290136,4581.290136,4581.290136,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1996,17034.93753,17034.93753,17034.93753,17034.93753,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1997,11995.86628,11995.86628,11995.86628,11995.86628,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1998,3708.12834,3708.12834,3708.12834,3708.12834,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1999,5648,5648,5648,5648,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2000,21838,21838,21838,21838,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2001,39024,39024,39024,39024,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2002,3560,3560,3560,3560,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2003,17753,17753,17753,17753,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2004,41791,41791,41791,41791,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2005,31260,31260,31260,31260,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2006,20819,20819,20819,20819,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2007,11871,11871,11871,11871,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2008,118973,118973,118973,118973,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2009,56917,56917,56917,56917,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2010,176476,176476,176476,176476,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2011,26571.21869,26571.21869,26571.21869,26571.21869,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2012,91782,91782,91782,91782,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2013,32567,32567,32567,32567,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2014,170773,170773,170773,170773,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2015,24348,24348,24348,24348,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2016,90513,90513,90513,90513,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2017,36943,36943,36943,36943,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2018,67576,67576,67576,67576,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2019,18130.69386,18130.69386,18130.69386,18130.69386,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2020,68069,68069,68069,68069,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2021,16903,16903,16903,16903,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",2022,91839.28092,91839.28092,91839.28092,91839.28092,"OkaComplV2","OkanaganComplex-V2",NA,"OkaComplV2","OkanaganComplex-V2"
"Sockeye",1961,3172.897818,3172.897818,3172.897818,3172.897818,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1962,5430.506455,5430.506455,5430.506455,5430.506455,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1963,26237.73109,26237.73109,26237.73109,26237.73109,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1964,23251.55603,23251.55603,23251.55603,23251.55603,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1965,17879.29135,17879.29135,17879.29135,17879.29135,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1966,73659.0366,73659.0366,73659.0366,73659.0366,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1967,26964.0961,26964.0961,26964.0961,26964.0961,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1968,45522.88,45522.88,45522.88,45522.88,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1969,10710.592,10710.592,10710.592,10710.592,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1970,29341.888,29341.888,29341.888,29341.888,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1971,36090.9141,36090.9141,36090.9141,36090.9141,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1972,21564,21564,21564,21564,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1973,12133,12133,12133,12133,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1974,7110.434712,7110.434712,7110.434712,7110.434712,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1975,12739.23404,12739.23404,12739.23404,12739.23404,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1976,16428.544,16428.544,16428.544,16428.544,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1977,13176.448,13176.448,13176.448,13176.448,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1978,4750.144,4750.144,4750.144,4750.144,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1979,15009.28,15009.28,15009.28,15009.28,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1980,15807.04,15807.04,15807.04,15807.04,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1981,16938.304,16938.304,16938.304,16938.304,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1982,11703.04,11703.04,11703.04,11703.04,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1983,16761.472,16761.472,16761.472,16761.472,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1984,53720.67986,53720.67986,53720.67986,53720.67986,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1985,31945.74646,31945.74646,31945.74646,31945.74646,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1986,15472.15812,15472.15812,15472.15812,15472.15812,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1987,21090.09404,21090.09404,21090.09404,21090.09404,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1988,20652.928,20652.928,20652.928,20652.928,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1989,17947.46414,17947.46414,17947.46414,17947.46414,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1990,6261.494874,6261.494874,6261.494874,6261.494874,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1991,19737.56439,19737.56439,19737.56439,19737.56439,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1992,33184.31818,33184.31818,33184.31818,33184.31818,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
"Sockeye",1993,17151.424,17151.424,17151.424,17151.424,"OkaComplV3","OkanaganComplex-V3",NA,"OkaComplV3","OkanaganComplex-V3"
